Country code,State code,Postcode / ZIP,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
US,AL,35406*,,10.000%,TUSCALOOSA,,0,,
US,AL,35407*,,10.000%,TUSCALOOSA,,0,,
US,AL,35440*,,9.000%,ABERNANT,,0,,
US,AL,35441*,,9.000%,AKRON,,0,,
US,AL,35442*,,10.000%,ALICEVILLE,,0,,
US,AL,35443*,,8.000%,BOLIGEE,,0,,
US,AL,35444*,,6.000%,ADGER,,0,,
US,AL,35446*,,9.000%,BUHL,,0,,
US,AL,35447*,,9.000%,CARROLLTON,,0,,
US,AL,35448*,,7.000%,CLINTON,,0,,
US,AL,35449*,,10.000%,COALING,,0,,
US,AL,35452*,,9.000%,COKER,,0,,
US,AL,35453*,,10.000%,COALING,,0,,
US,AL,35456*,,10.000%,BRENT,,0,,
US,AL,35457*,,9.000%,ECHOLA,,0,,
US,AL,35458*,,9.000%,ELROD,,0,,
US,AL,35459*,,9.000%,EMELLE,,0,,
US,AL,35460*,,7.000%,EPES,,0,,
US,AL,35461*,,9.000%,ETHELSVILLE,,0,,
US,AL,35462*,,10.000%,EUTAW,,0,,
US,AL,35463*,,9.000%,FOSTERS,,0,,
US,AL,35464*,,9.000%,GAINESVILLE,,0,,
US,AL,35466*,,9.000%,ECHOLA,,0,,
US,AL,35469*,,7.000%,KNOXVILLE,,0,,
US,AL,35470*,,10.000%,LIVINGSTON,,0,,
US,AL,35471*,,8.000%,MC SHAN,,0,,
US,AL,35473*,,10.000%,NORTHPORT,,0,,
US,AL,35474*,,10.000%,MOUNDVILLE,,0,,
US,AL,35475*,,10.000%,NORTHPORT,,0,,
US,AL,35476*,,10.000%,NORTHPORT,,0,,
US,AL,35477*,,7.000%,PANOLA,,0,,
US,AL,35478*,,9.000%,PETERSON,,0,,
US,AL,35480*,,7.000%,KNOXVILLE,,0,,
US,AL,35481*,,9.000%,MILLPORT,,0,,
US,AL,35482*,,9.000%,SAMANTHA,,0,,
US,AL,35486*,,10.000%,TUSCALOOSA,,0,,
